    year    jan     feb     mar     apr     may     jun     jul     aug     sep     oct     nov     dec
    1969 -2.3330 -2.2926 -2.0794 -0.2219  0.5080 -0.7919 -0.4861 -0.4959 -0.0987  0.0080 -0.3857 -1.1489
    1970 -1.4188 -1.5702 -1.5465 -0.4246 -0.1404 -1.1301 -1.0217 -0.2459 -1.2837 -1.5995 -1.6983 -1.8971
    1971 -2.2349 -2.4304 -2.1120 -2.0636 -2.0956 -2.6736 -1.3168  0.0705 -1.2946 -1.1489 -1.2413 -1.2208
    1972 -1.5279 -1.9105 -1.7487 -1.9310 -2.0099 -2.0715 -0.2033  0.6642  0.3577 -0.0471 -0.2536 -0.9263
    1973 -1.2910 -1.3509 -0.4557  1.4727  1.8997  0.8002 -0.0672 -0.4589 -1.0300 -1.6607 -1.7958 -1.8389
    1974 -1.9241 -1.9661 -1.4439 -1.4271 -1.6713 -2.3752 -2.5383 -1.4106 -2.3126 -1.3903 -1.5896 -2.1542
    1975 -1.9951 -1.7779 -0.7319  0.0469  0.4806 -0.4246 -0.4035 -1.5418 -0.6675 -1.7720 -1.9173 -1.9449
    1976 -2.2256 -2.1716 -2.1371 -1.7603 -0.7985 -1.7603 -1.6503 -0.8892 -1.5559 -2.1120 -2.4191 -2.4889
    1977 -2.5510 -2.5770 -2.2634 -0.5997 -0.4861 -1.9733 -1.8140 -1.4567 -2.5133 -3.0159 -2.5903 -2.7806
    1978 -2.8134 -2.8647 -2.2730 -1.7316 -0.5692 -1.3356 -1.8140 -2.0402 -2.6451 -2.9759 -0.0294 -1.2040
    1979 -1.6607 -1.3318 -0.7722  0.5068  1.5890  1.2149 -0.2984 -0.6792 -1.4961 -2.0557 -2.0557 -1.9519
    1980 -2.0557 -2.0636 -2.0326 -0.5586  0.5647 -0.3411 -2.0250 -1.5559 -1.3020 -2.1286 -2.1456 -2.1982
    1981 -2.2538 -2.5257 -2.2256 -1.6928 -1.9519 -1.9038 -1.4567  0.5452 -0.3783 -1.1489 -1.8264 -2.0326
    1982 -2.2538 -1.9951 -1.3130 -0.8627 -0.1233 -1.1301 -2.0636 -0.5396 -0.1661 -1.1842 -1.4355 -1.5750
    1983 -1.5702 -1.1842 -0.3216  0.5994  0.8127  0.3653 -1.0217 -1.1842 -1.6246 -2.0636 -2.0636 -1.9449
    1984 -1.8389 -1.9038 -1.6874 -0.5534  0.1832 -0.8233 -1.5799 -1.3903 -2.1371 -1.1056 -1.1648 -0.8557
    1985 -1.3093 -0.8965  0.2086  1.0993  1.2879  0.4101 -0.4510 -0.8370 -1.1301 -0.4246 -1.3903 -1.7958
    1986 -2.0025 -1.6451 -1.5006 -0.7550 -0.6406  0.3315 -0.4110 -1.1489 -1.3130 -0.9467 -0.3411 -0.7361
    1987 -1.2413 -0.5430  0.6054  1.1979  1.2066  0.1441 -1.0966 -0.8627 -1.3020 -1.8264 -1.6145 -1.6296
